,mergy.workerid,mergy.assignmentid,mergy.bonus
0,A1P6OXEJ86HQRM,32RIADZISS4OFDTNJXO2N1R9VN7S4X,0.0
1,ALEJV7D94ZLHF,352YTHGROVDZP4F783C3JNK7MCZ4HX,1.25
2,A11TPUPFP2S4MK,354P56DE9K3LY0B6LVM9QDBJMPXS7H,0.0
3,A1O57XVTTB1PNZ,39KFRKBFINVPFSFE1NV0JLLFTZ3OYH,1.25
4,A3K9GTQBOI7O5A,3GNCZX450IN64ATC0HUZ5Z8Y0DWPAP,0.0
5,A1F3XD5WEK7H7E,3NJM2BJS4W6UXPQAKVQQBUYM0GHPCR,1.25
6,A18VIO909RWY6D,3PWWM24LHSYWTFZR1LZ9DVUAZFQ823,1.25
7,A2NA2OJT15COZY,3TPZPLC3M0C6KPURR2FPIRUSU353P8,0.0
8,AGWWUXDX6CI38,3UJ1CZ6IZHP6BWXNX27CSTXNVJ2S52,0.0
9,A2PIFMM4Q2I9ZS,33LKR6A5KEK82E9JLFAQZ8GSLMC1TJ,1.25
10,A39VZ93N96XB6O,382M9COHEHFMMSIKX8VFBOLOT9MUEL,0.0
11,A2G7DTL156PTKA,388U7OUMF71VFAB9L71VLOW0S9BR0V,1.25
12,AT8LEYIKYE2IO,3HL8HNGX451G8EUDU8KUXAJASPS9FS,1.25
13,A3V8C77FN4FLUA,3I7DHKZYGN0X7RS1RI7DLUE86U65FW,0.0
14,A30HUZHJBOX1LK,3LKC68YZ3A3LQNKEMMDCYO0ZIR3WOQ,1.25
15,AMPMTF5IAAMK8,3QY5DC2MXRKES6IGSJFLT66O5A1UF3,0.0
16,A2KSAAQBU5R0F6,3Z7VU45IPYH4OQIIR7Z8LWH96IXZ1W,0.0
17,A26TKC3Q2KBWML,3ZDAD0O1T1DGSFUCS8VXUHKTQ1DTXP,1.25
