,mergy.workerid,mergy.assignmentid,mergy.bonus
0,A31TEW0ZK60FU7,351SEKWQS0HYHEZBSBT9EWM9HFUDM4,1.25
1,A14RW1LRWTI1AZ,3570Y55XZPJ1NFYGD4ISECCD3HCYGD,1.25
2,AZHW79PH959WU,3634BBTX0OU9JFNGY2Q7A3IDCJ8FIJ,0.0
3,A1R660TU68WI3T,3FQ5JJ512LOCD2QLWTUWVO6Z6DMNKA,1.25
4,AV30KMIUKDG,3I0BTBYZAXL4CBNVZ2TPTKPXW0YY0L,1.25
5,A2BWBA14P7IIXS,3LS2AMNW5FQG6QOSADE66ZIDVTJQOK,1.25
6,A1QT7BQZVOBSY0,3P59JYT76LKFRZRF4JA44RQXEVMT2V,0.0
7,A2E0LU8V4EUX5C,3R0T90IZ1SCOKCXBHC03HLKU0TAGC3,1.25
8,A3HDZZJ0867FP9,3XCC1ODXDLBJ33G825VA0UNI6G3QRT,1.25
9,AJPBK7PVSPKVS,351SEKWQS0HYHEZBSBT9EWM9HEFMDW,1.25
10,A2TTT2JCERR0SX,3A4NIXBJ76ZHFQN35SRXX9UEQNGMLB,1.25
11,A39IW62YF0AH98,3DQQ64TANGL3BNWF1MQRNO5PTZVWPA,1.25
13,A3A0RP6IUR41PP,3QUO65DNQUO8YJV9RMYBG0F2YEOOUM,1.25
14,AEABRUWKPKUH0,3R2UR8A0IAG0FNP4WR9Y07E6SW5OXE,1.25
15,A1ETEW9WH37WDS,3TPWUS5F891KHYNBWH4L3O6IUGGCWC,1.25
16,A1A6RKKMU7SEL3,3X4MXAO0BGOON0CUEEUGSJ54UHJWR2,1.25
17,A3EXEK028GISUY,3XCC1ODXDLBJ33G825VA0UNI6G2RQT,1.25
18,AR42EOSOZX523,33ISQZVXPPMB30H6FQ4KRUZF21KCCR,1.25
19,A17DEELX3WVYDY,384PI804XS17GPBM0W10BY1WFFP0SW,1.25
20,AAM0Q3DCSSQ0A,3CTOC39K37QSZXSGY1DVYCKWR9G7JJ,1.25
21,A3CD3C99T8S6ON,3J2UYBXQQLC2TRDPTJYXAT54XR606Q,0.0
22,A3TMW8J58LZXEU,3KIBXJ1WD5UUVNQXX8U9AD64WNQOKP,1.25
23,A1HH3ZNP1JP6KP,3OLF68YTN91UDX4IMEYUT5UUZA5FAF,1.25
24,A3FHIX6HE7YINC,3S0TNUHWKTIJWPX7YAJQ9ELEXA48DA,1.25
25,A31AQ9C1BOCRTR,3TMSXRD2X600UVDDGKF1MSNRQK91WX,0.0
26,A2A1FS0KVLJ9ZT,3YMTUJH0DSGPUD628XTSX6NVY9H4T1,1.25
