HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.comment,Answer.confcode,Approve,Reject
39TX062QX1O96EYONQK4NKK9UIW3XT,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Fri Jun 26 12:41:31 PDT 2020,5,BatchId:4094799;OriginalHitTemplateId:928390828;,3600,86400,Thu Jul 16 12:41:31 PDT 2020,,,3JC6VJ2SABJ2B0BTG2LL7T3H907A5A,A3KP8KFGG6734Q,Submitted,Fri Jun 26 12:41:55 PDT 2020,Fri Jun 26 12:50:55 PDT 2020,Sat Jun 27 12:50:55 PDT 2020,,,,540,0% (0/0),0% (0/0),0% (0/0),"I'm hoping that the credit report isn't mandatory, that is quite private but I do know for sure what mine is from my bank. I am not willing to give my information to Credit Karma.",2690678,,
39TX062QX1O96EYONQK4NKK9UIW3XT,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Fri Jun 26 12:41:31 PDT 2020,5,BatchId:4094799;OriginalHitTemplateId:928390828;,3600,86400,Thu Jul 16 12:41:31 PDT 2020,,,3RWE2M8QWHAA0CJHS0KEC4RQR1JN0E,A1T643M1P572AA,Submitted,Fri Jun 26 17:46:00 PDT 2020,Fri Jun 26 17:57:25 PDT 2020,Sat Jun 27 17:57:25 PDT 2020,,,,685,0% (0/0),0% (0/0),0% (0/0),{},51114846,,
39TX062QX1O96EYONQK4NKK9UIW3XT,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Fri Jun 26 12:41:31 PDT 2020,5,BatchId:4094799;OriginalHitTemplateId:928390828;,3600,86400,Thu Jul 16 12:41:31 PDT 2020,,,3S0TNUHWKTIJWPX7YAJQ9ELEWTID8U,A1F9KLZGHE9DTA,Submitted,Fri Jun 26 13:42:36 PDT 2020,Fri Jun 26 13:59:21 PDT 2020,Sat Jun 27 13:59:21 PDT 2020,,,,1005,0% (0/0),0% (0/0),0% (0/0),{},40814188,,
39TX062QX1O96EYONQK4NKK9UIW3XT,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Fri Jun 26 12:41:31 PDT 2020,5,BatchId:4094799;OriginalHitTemplateId:928390828;,3600,86400,Thu Jul 16 12:41:31 PDT 2020,,,3TS1AR6UQQECUV6KFBMAJES4XM0F7S,A3APKUC67F9IMW,Submitted,Fri Jun 26 14:39:27 PDT 2020,Fri Jun 26 15:11:46 PDT 2020,Sat Jun 27 15:11:46 PDT 2020,,,,1939,0% (0/0),0% (0/0),0% (0/0),{},59467771,,
39TX062QX1O96EYONQK4NKK9UIW3XT,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Fri Jun 26 12:41:31 PDT 2020,5,BatchId:4094799;OriginalHitTemplateId:928390828;,3600,86400,Thu Jul 16 12:41:31 PDT 2020,,,3XIQGXAUMC8TUHX5F5SWPLSB1RB7XQ,A1PLQGQ95NICAF,Submitted,Fri Jun 26 12:46:23 PDT 2020,Fri Jun 26 12:57:50 PDT 2020,Sat Jun 27 12:57:50 PDT 2020,,,,687,0% (0/0),0% (0/0),0% (0/0),{},85937974,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,32RIADZISS4OFDTNJXO2N1R9VN7S4X,A1P6OXEJ86HQRM,Submitted,Mon Jun 29 13:22:00 PDT 2020,Mon Jun 29 13:32:35 PDT 2020,Tue Jun 30 13:32:35 PDT 2020,,,,635,0% (0/0),0% (0/0),0% (0/0),{},9521676,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,352YTHGROVDZP4F783C3JNK7MCZ4HX,ALEJV7D94ZLHF,Submitted,Mon Jun 29 13:14:57 PDT 2020,Mon Jun 29 13:41:05 PDT 2020,Tue Jun 30 13:41:05 PDT 2020,,,,1568,0% (0/0),0% (0/0),0% (0/0),{},17623899,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,354P56DE9K3LY0B6LVM9QDBJMPXS7H,A11TPUPFP2S4MK,Submitted,Mon Jun 29 12:21:34 PDT 2020,Mon Jun 29 12:54:10 PDT 2020,Tue Jun 30 12:54:10 PDT 2020,,,,1956,0% (0/0),0% (0/0),0% (0/0),{},9333466,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,39KFRKBFINVPFSFE1NV0JLLFTZ3OYH,A1O57XVTTB1PNZ,Submitted,Mon Jun 29 12:21:19 PDT 2020,Mon Jun 29 12:38:19 PDT 2020,Tue Jun 30 12:38:19 PDT 2020,,,,1020,0% (0/0),0% (0/0),0% (0/0),No video sample at beginning,39290625,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,3GNCZX450IN64ATC0HUZ5Z8Y0DWPAP,A3K9GTQBOI7O5A,Submitted,Mon Jun 29 12:21:34 PDT 2020,Mon Jun 29 12:57:04 PDT 2020,Tue Jun 30 12:57:04 PDT 2020,,,,2130,0% (0/0),0% (0/0),0% (0/0),{},91036713,,
